Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройств определения места повреждения в сети 35кВ;ТПФ ПУМА-2300;110кВ Бешенковичи;12.12.2017;30.11.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации РЗА РРЭС;РЗАИ РРЭС;ПС-ТП-РП РРЭС;15.02.2022;15.02.2026;0;0;0;0;0;0;0;0;1;0;0
Инструкция по эксплуатации РЗАИ СВВ-10кВ;СВВ-10 кВ;110кВ Бешенковичи;17.05.2022;17.05.2026;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита собственных нужд;ЩСН;110кВ Бешенковичи;07.08.2018;07.08.2022;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАотходящих линий 35кВ, ТН-35кВ;ВЛ-35 кВ на Бочейково, Шумилино, ТН-35;110кВ Бешенковичи;14.01.2019;14.01.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗА отходящих линий 10 кВ и ВВ-10кВ ДГК;ВЛ-10 кВ, ТН-10 кВ, ВВ-10кВ;110кВ Бешенковичи;06.03.2019;06.03.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации электромагнитной блокировки;Электромагнитной блокировки;110кВ Бешенковичи;15.05.2019;15.05.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ трансформаторов Т-1, Т-2;Т1, Т2, автоматика обдува Т1;110кВ Бешенковичи;16.08.2019;16.08.2023;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения Т1, Т-2;АРН Т1,Т-2;110кВ Бешенковичи;23.04.2021;23.04.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СМВ-110кВ;СМВ-110 кВ,ВЛ-110 на Сватовку и Соржицу;110кВ Бешенковичи;08.12.2021;08.12.2025;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации вторич цепей ТН-110кВ;ТН-110 кВ;110кВ Бешенковичи;31.10.2016;09.10.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств РЗА отходящих линий 10кВ, ВВ-10кВ ДГК и ТН-0кВ 1, 2с-10кВ;отходящие линии 10кВ;110кВ Бешенковичи;09.10.2020;09.10.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройства АЧР с АПВЧ;АЧР с АПВЧ;110кВ Бешенковичи;12.10.2020;12.10.2024;1;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации комплекта автоматического и дистанционного управления дугогасящим реактором;Автоматика ДГК;110кВ Бешенковичи;12.02.2020;16.10.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Бешенковичи;18.11.2016;03.11.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств оперативного тока;Выпрямленного опертока, БПН, БПНС, БПТ,Переменного опертока;110кВ Бешенковичи;04.11.2016;09.11.2024;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств регулирования напряжения Т-1, Т-2;АРН Т1, АРН Т2;110кВ Бешенковичи;23.04.2021;23.04.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ЛИФП, ПУМА1100;110кВ Бешенковичи;05.05.2021;05.05.2025;0;1;0;0;0;0;1;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Билево;23.07.2021;23.07.2025;0;1;0;0;0;0;0;0;0;0;0
